dn,P,u,v,w
7.3592e+05,15.507,0.21222,0.092727,-0.0095864
7.3592e+05,15.501,0.17501,0.087747,-0.0060404
7.3592e+05,15.513,0.18442,0.098275,-0.0004991
7.3592e+05,15.519,0.18769,0.10292,0.0037114
7.3592e+05,15.525,0.18479,0.11472,0.0048523
7.3592e+05,15.513,0.17211,0.092986,0.0089659
7.3592e+05,15.531,0.19019,0.10611,0.014872
7.3592e+05,15.525,0.17762,0.11268,0.014569
7.3592e+05,15.525,0.17658,0.11552,0.010593
7.3592e+05,15.513,0.17311,0.11409,0.0044378
7.3592e+05,15.519,0.18185,0.12221,-0.0010875
7.3592e+05,15.531,0.18465,0.12889,-0.005844
7.3592e+05,15.537,0.15336,0.12531,-0.0019448
7.3592e+05,15.537,0.17174,0.12338,-0.0054016
7.3592e+05,15.531,0.19784,0.11601,-0.0076761
7.3592e+05,15.537,0.18008,0.12696,-0.0070422
7.3592e+05,15.531,0.1851,0.11491,-0.0041402
7.3592e+05,15.531,0.19364,0.13053,-0.0035027
7.3592e+05,15.543,0.18048,0.14341,-0.002624
7.3592e+05,15.531,0.18394,0.11222,-0.0012352
7.3592e+05,15.537,0.18039,0.14334,0.00037355
7.3592e+05,15.537,0.15949,0.14638,0.00080745
7.3592e+05,15.537,0.17419,0.15814,-0.0024309
7.3592e+05,15.549,0.17455,0.17031,-0.0050832
7.3592e+05,15.543,0.19199,0.1701,-0.003568
7.3592e+05,15.549,0.16256,0.15757,-0.0047938
7.3592e+05,15.543,0.17472,0.17048,-0.011078
7.3592e+05,15.549,0.17231,0.17045,-0.0051441
7.3592e+05,15.543,0.15584,0.17873,-0.0083599
7.3592e+05,15.537,0.17911,0.16462,-0.0041067
7.3592e+05,15.543,0.16235,0.15738,0.0022004
7.3592e+05,15.543,0.16256,0.15757,-0.0047938
7.3592e+05,15.543,0.17302,0.15668,-0.011514
7.3592e+05,15.537,0.15457,0.15434,-0.015126
7.3592e+05,15.549,0.17296,0.20236,-0.0081773
7.3592e+05,15.549,0.16314,0.16235,-0.01565
7.3592e+05,15.549,0.15353,0.17462,-0.015554
7.3592e+05,15.549,0.16863,0.17992,-0.01398
7.3592e+05,15.555,0.16489,0.17067,-0.012356
7.3592e+05,15.549,0.1652,0.18699,-0.0038527
7.3592e+05,15.543,0.17067,0.17958,-0.0069273
7.3592e+05,15.543,0.13259,0.18179,-0.0038495
7.3592e+05,15.58,0.13954,0.18377,-0.0086198
